year,article_count,total_words,global_count,global_per1000,international_count,international_per1000,world_class_count,world_class_per1000,diversity_count,diversity_per1000,ranking_count,ranking_per1000,innovation_count,innovation_per1000,excellence_count,excellence_per1000,collaboration_count,collaboration_per1000,foreign_students_count,foreign_students_per1000,english_count,english_per1000,ai_count,ai_per1000,entrepreneurship_count,entrepreneurship_per1000
2006,30,6026,4,0.6638,14,2.3233,5,0.8297,0,0.0,2,0.3319,5,0.8297,4,0.6638,1,0.1659,0,0.0,3,0.4978,0,0.0,9,1.4935
2007,23,5432,6,1.1046,2,0.3682,3,0.5523,1,0.1841,1,0.1841,1,0.1841,2,0.3682,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,24,5418,4,0.7383,9,1.6611,1,0.1846,0,0.0,17,3.1377,1,0.1846,5,0.9228,12,2.2148,1,0.1846,0,0.0,0,0.0,0,0.0
2009,36,8550,26,3.0409,38,4.4444,0,0.0,0,0.0,17,1.9883,10,1.1696,10,1.1696,3,0.3509,1,0.117,0,0.0,0,0.0,4,0.4678
2010,30,5799,8,1.3795,15,2.5867,0,0.0,4,0.6898,10,1.7244,3,0.5173,3,0.5173,4,0.6898,1,0.1724,2,0.3449,4,0.6898,0,0.0
2011,53,7032,6,0.8532,10,1.4221,3,0.4266,0,0.0,4,0.5688,6,0.8532,7,0.9954,5,0.711,0,0.0,7,0.9954,0,0.0,0,0.0
2012,25,4325,6,1.3873,14,3.237,2,0.4624,2,0.4624,14,3.237,2,0.4624,2,0.4624,8,1.8497,5,1.1561,4,0.9249,0,0.0,0,0.0
2013,38,7166,18,2.5119,6,0.8373,1,0.1395,3,0.4186,27,3.7678,10,1.3955,10,1.3955,31,4.326,1,0.1395,0,0.0,0,0.0,8,1.1164
2014,85,14382,28,1.9469,40,2.7813,1,0.0695,4,0.2781,52,3.6156,18,1.2516,22,1.5297,42,2.9203,8,0.5563,2,0.1391,1,0.0695,16,1.1125
2015,54,10624,20,1.8825,44,4.1416,0,0.0,9,0.8471,31,2.9179,13,1.2236,4,0.3765,16,1.506,10,0.9413,2,0.1883,1,0.0941,28,2.6355
2016,17,3144,4,1.2723,2,0.6361,0,0.0,1,0.3181,16,5.0891,10,3.1807,2,0.6361,9,2.8626,0,0.0,0,0.0,2,0.6361,7,2.2265
2017,33,9037,30,3.3197,34,3.7623,1,0.1107,7,0.7746,18,1.9918,30,3.3197,10,1.1066,23,2.5451,9,0.9959,1,0.1107,50,5.5328,4,0.4426
2018,15,4617,23,4.9816,6,1.2995,0,0.0,1,0.2166,3,0.6498,20,4.3318,5,1.083,25,5.4148,1,0.2166,0,0.0,2,0.4332,2,0.4332
2019,19,5804,12,2.0675,7,1.2061,2,0.3446,1,0.1723,0,0.0,11,1.8952,10,1.7229,26,4.4797,0,0.0,0,0.0,20,3.4459,3,0.5169
2020,17,7374,16,2.1698,9,1.2205,0,0.0,3,0.4068,5,0.6781,3,0.4068,3,0.4068,12,1.6273,1,0.1356,0,0.0,14,1.8986,2,0.2712
2021,22,9484,46,4.8503,10,1.0544,0,0.0,4,0.4218,1,0.1054,26,2.7415,17,1.7925,20,2.1088,6,0.6326,0,0.0,62,6.5373,17,1.7925
2022,7,2710,18,6.6421,4,1.476,0,0.0,1,0.369,0,0.0,3,1.107,2,0.738,10,3.69,0,0.0,1,0.369,13,4.797,17,6.2731
2023,6,2505,19,7.5848,6,2.3952,1,0.3992,1,0.3992,1,0.3992,5,1.996,6,2.3952,5,1.996,0,0.0,0,0.0,6,2.3952,6,2.3952
2024,3,1293,12,9.2807,4,3.0936,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7734,1,0.7734,0,0.0,0,0.0,3,2.3202,7,5.4138
2025,15,7679,32,4.1672,7,0.9116,5,0.6511,4,0.5209,2,0.2605,23,2.9952,12,1.5627,11,1.4325,0,0.0,0,0.0,31,4.037,11,1.4325
